geography,total_electricity
G5501270,576950238.7673959
G2100490,278970492.96275556
G1700770,520619550.09061956
G1301730,69562540.96322823
G2701090,1091951634.6347392
G4801390,1375931721.315883
G4802470,42277601.449107975
G2200090,292416433.1715934
G0100670,167770594.02123752
G2801410,155646384.26897272
G2500230,2484431379.113851
G5300190,84536187.1943649
G0800470,111055247.2721127
G2000650,31940820.278469637
G4200190,1161422418.2509327
G4100250,60885627.61846621
G4801870,1075074890.8540027
G0800970,123047089.67382771
G2800370,56459629.41457628
G3900790,189322593.70017162
G5300510,134853407.41913518
G3701730,116796127.37099722
G4701510,133489859.5161455
G0100230,99196380.33963512
G4700390,107718488.3578882
G5101410,130831723.17429355
G1200750,321467152.8158038
G3100550,4266906984.297024
G1900510,49220467.522247314
G3800830,15921933.518526632
G1201090,1669740146.656989
G0500210,141371596.59928197
G0600110,81704947.652216
G2001670,42364971.85541611
G0200200,970578227.3605719
G2400210,2169267708.1137357
G1201010,3983414351.9617987
G5500730,679529083.579758
G5600190,45107325.51259434
G3400010,2002389014.4936175
G3100250,182626255.53922534
G2601610,1988352165.5944538
G2900130,132067371.93548408
G1303050,230617609.29298088
G1900450,240971492.3602519
G3700710,1725586330.0690343
G4804010,364292854.6953316
G4804190,199126087.2777102
G3000910,27823881.795583077
G1901410,98467707.32540932
G4201070,914627456.6669257
G0100190,239291417.25606385
G2700750,79934434.05281861
G4100410,385704857.5479675
G2700850,272214251.6102059
G5400950,47773801.74235757
G5600310,46561014.570906445
G4804350,22114926.42815211
G0400030,763599142.7380757
G4601150,69016738.28953949
G4001030,78771670.61207865
G3100350,37181140.24254331
G1700030,41584222.75952697
G3500030,30270082.665794995
G4801550,16318529.563514935
G3600110,445815143.91993755
G2101630,180217424.6424328
G4600830,271331649.9096015
G3901410,498416282.8693686
G3900230,887060108.3752453
G0600250,1196840522.8455112
G0100890,3073236242.397747
G0100810,1035371104.7251866
G5101330,120744810.37221782
G2101090,135287290.09834808
G1300250,121199667.7876072
G2000250,36792248.18596669
G1301070,130731406.71610667
G1900690,58718479.06921351
G1800270,212175555.87730688
G4700830,70273695.41145685
G4804710,401840675.02180535
G3800270,25709579.39648399
G3900590,349740355.95916855
G4000150,239903786.62269044
G1801770,586704511.4434894
G1701890,121606366.61658446
G2600670,280222508.1004083
G1600330,3719601.2548748064
G1600630,20788390.381513804
G4804370,49029639.92409586
G3901030,917323018.4904572
G2901970,26524128.838255852
G3600310,330008766.4317564
G4800670,253160068.47690058
G3000110,35654166.44267844
G2000330,10594800.079728397
G3700770,336573308.18331206
G0600790,1421852090.0475702
G4701450,407860440.3980625
G4500650,86100827.91572605
G0201220,70108895.72828883
G4000390,240770975.00472438
G0100050,221885394.87864053
G3901390,842984954.504719
G5500950,281504285.498084
G0500530,152566518.96735266
G0800350,1595569119.8665714
G2601350,85862530.31667504
G3600150,458332594.07146335
G3901190,501488792.83941436
G2000570,168776257.2904443
G4802970,111208120.42266533
G4400090,782862045.894458
G2001590,61177186.73807527
G4100110,376912971.55697703
G1900390,53167594.70589059
G4500250,336786380.0098717
G4701390,132609285.62520167
G2500210,3810603977.709131
G4803690,54723783.23540158
G5101030,110449733.91780841
G4900550,14064863.343981896
G4900090,10742594.144613162
G0400050,788669060.2077364
G5100050,162369488.4837535
G1200770,57802428.57624757
G4804290,69548469.09937292
G4800790,20477082.033020843
G2701210,78823565.42317155
G1701690,74923278.28840366
G2001290,18313272.313480698
G4802630,4714581.859527012
G3200150,34714716.20635125
G1900850,83208798.57589738
G2300210,119538376.43644162
G4001490,106822880.08343828
G0600830,1771024208.1573732
G5000170,132469371.61106029
G3901130,4284374623.7332044
G4000850,199461940.41074222
G2100370,722808914.6562234
G4200230,51517335.12166444
G3200270,30212736.0029277
G1200470,74902007.97317943
G5107600,2313832799.325197
G3100290,28144128.35829457
G2200470,195771975.91103703
G2800350,501007266.5973377
G4701770,304276414.2370301
G4001090,7851957505.771519
G4000550,35633018.42276782
G0900090,4925996823.6068
G2600810,3555353364.4282937
G4001450,509588044.7096382
G1301710,126194843.34721044
G0500830,170393956.0838926
G2800690,51028279.4115942
G1200190,1523932927.334295
G4000410,397097579.17425597
G2300090,347744179.84335697
G3701290,2323334793.863846
G3300050,381744095.3537564
G0100990,167674383.59108558
G5300090,565165396.6480501
G2200710,4742804370.405643
G4100290,1319366469.7042036
G5501090,485197157.9188845
G0600210,146938760.18526173
G3600570,289203270.7246722
G2200610,283442544.78394204
G0800370,234836025.36997885
G1301110,254058408.75475484
G2400470,752020608.8182232
